output,bias,1,H,S,H^2,H S,S^2,H^3,H^2 S,H S^2,S^3,H^4,H^3 S,H^2 S^2,H S^3,S^4,H^5,H^4 S,H^3 S^2,H^2 S^3,H S^4,S^5,H^6,H^5 S,H^4 S^2,H^3 S^3,H^2 S^4,H S^5,S^6,H^7,H^6 S,H^5 S^2,H^4 S^3,H^3 S^4,H^2 S^5,H S^6,S^7,H^8,H^7 S,H^6 S^2,H^5 S^3,H^4 S^4,H^3 S^5,H^2 S^6,H S^7,S^8,H^9,H^8 S,H^7 S^2,H^6 S^3,H^5 S^4,H^4 S^5,H^3 S^6,H^2 S^7,H S^8
Nh,330100.5762880124,758095.733320979,-2850895.5297832293,266499.4347425299,-6082037.33357607,12907937.097962243,-401900.7658189749,-3313791.5072023664,26171226.486689087,-39260888.17831448,6708.581520234526,-401761.27338159597,19173582.623746082,-74332625.42256157,82535975.23010528,521413.6734711708,-2355049.8244452346,11266368.927996952,-57486037.27107574,139247168.6497951,-117483907.7427772,354554.43549531186,-3197770.562963417,10793798.630552072,-33806651.42270964,95394884.19581786,-166660154.63331783,109916749.57233652,92783.74820902548,-1387003.759590286,6848904.058671292,-18537850.75648413,43911948.78843001,-88898421.23704351,121748440.50169425,-64416031.47088105,12629.194339171052,-229254.08117332496,1771776.1817717217,-6224204.5432560425,14085978.931038901,-27047213.898215517,43705607.839704536,-49359879.525502145,21383457.464230314,421.2963799536228,-15194.857188522816,140510.6652866155,-741724.7803624272,2051793.5994224697,-3993294.6891382933,6479164.4396764785,-8842339.012557587,8509764.4231053,-3062489.4262913913
gamma,-50279.16660880979,-60551.64616069024,195872.32773048617,126013.0080308436,-27275.228304457014,483608.9125439652,214968.0241971452,-1333031.0805557396,2716699.867450272,-5171168.365131347,84348.51594905274,-1774003.055649161,6627938.2817722345,-13450472.417246671,16374867.678570136,39064.42199018354,-929856.6490599018,6764862.478226032,-18485786.992901336,31982937.161211688,-28590216.6386963,57478.36048672384,-467350.32355098333,3446125.117509245,-14070155.492920158,30075977.679487374,-43428361.985309295,30357356.005748715,28659.062457752225,-281065.65200923325,1332671.9733339937,-5731728.522672426,16182259.058538398,-28247728.288853247,34408274.429769784,-19540473.13046027,5027.5213742777705,-75733.44137819848,417207.454931736,-1438850.7316859749,4429121.316052668,-9633544.125920583,14186713.606599811,-14835645.4777115,7022844.883843441,199.35541805252433,-6187.994624938816,49024.03584664315,-194955.6250452958,534748.4622801803,-1297953.4899295866,2315586.540354047,-2950091.8414210565,2694395.310308885,-1082389.3906990625
