output,bias,1,H,S,H^2,H S,S^2,H^3,H^2 S,H S^2,S^3,H^4,H^3 S,H^2 S^2,H S^3,S^4,H^5,H^4 S,H^3 S^2,H^2 S^3,H S^4,S^5,H^6,H^5 S,H^4 S^2,H^3 S^3,H^2 S^4,H S^5,S^6,H^7,H^6 S,H^5 S^2,H^4 S^3,H^3 S^4,H^2 S^5,H S^6,S^7,H^8,H^7 S,H^6 S^2,H^5 S^3,H^4 S^4,H^3 S^5,H^2 S^6,H S^7,S^8,H^9,H^8 S,H^7 S^2,H^6 S^3,H^5 S^4,H^4 S^5,H^3 S^6,H^2 S^7,H S^8,S^9,H^10,H^9 S,H^8 S^2,H^7 S^3,H^6 S^4,H^5 S^5,H^4 S^6,H^3 S^7,H^2 S^8,H S^9,S^10,H^11,H^10 S,H^9 S^2,H^8 S^3,H^7 S^4,H^6 S^5,H^5 S^6,H^4 S^7,H^3 S^8,H^2 S^9,H S^10
Nh,901.9361680368299,10184.471796634107,-15150.502600101347,48294.65326271868,-150857.23454175587,110867.83451618462,123514.80536096229,-620467.1573944615,964580.5556454795,-464654.41595090245,180032.99903635352,-1347467.8404911733,3407910.3831435405,-3499803.2153119985,1233947.7409741038,137348.16437424457,-1606720.2987584618,6197452.829868359,-10495286.543913547,7955441.260375835,-2166144.4961306746,22944.315463143903,-905479.8912066144,5907570.4597814195,-15709988.80199801,19940057.071224645,-11777584.733960157,2539437.486012855,-47857.658397512016,34348.03487044589,2306990.3727200343,-11625234.54041258,24001794.87385448,-24146675.56500317,11399390.631518267,-1956422.6679576095,-39034.2513710591,323288.32187620923,-513353.2611492807,-2828704.9621762014,13208971.301053757,-22580023.151594937,18501041.267593216,-7011918.538767284,943840.9828133695,-7266.627001042943,132291.98873310443,-714434.2201535301,1168750.4012683104,1599927.8624175424,-8634118.607430708,12706499.317809187,-8526784.710055452,2545907.7348268423,-256461.30525107845,6109.657626442611,-6848.825376191642,-145660.55683825817,681913.1683840833,-1067954.1156387972,-243018.41522909142,2989739.4165040106,-3870453.842247802,2081981.3818772803,-460789.17261840403,30108.841969283298,3352.4114678278565,-11686.356121972203,13179.455057010055,58241.9357577702,-245032.92739164364,354023.83296104055,-66334.24961524084,-420256.8715849947,478618.29077496845,-190057.4252399085,25451.811280600727,-265.6056634001434
gamma,-617.4216015014459,-6122.944206934635,9496.941995470464,-24281.154584976273,81719.81559315922,-62351.148648813934,-50590.2777075003,286902.6982841185,-478258.9205699698,238225.58074796636,-56924.027122855136,519947.6526170006,-1477084.0432699881,1617757.7998003704,-588680.237476604,-28337.239619979104,494709.57716852723,-2313352.522841765,4360769.577145036,-3508519.5908523398,989115.8597125759,4580.016516248077,193498.54786054697,-1850562.779956046,5845078.175661647,-8158269.889763396,5107496.870141491,-1155079.1235745745,11768.416816654328,-41783.44792010774,-570938.1887835695,3887924.897539438,-9207698.062281553,10054838.50174521,-5063732.893206257,939098.3109938349,4170.178494173335,-61079.22746803635,125539.36441065569,949265.8566324817,-4980490.028089393,9285917.54791822,-8178619.741015408,3380770.261585924,-521365.2591518685,400.3884326966945,-17417.18369567208,118918.30106451944,-163354.04660747133,-949103.554733311,3899088.5338636315,-5862224.305566689,4236814.206171853,-1454969.2141929236,188010.66378784337,565.4527341900393,-3208.607903862954,23366.9346934082,-98795.85468988272,91170.37889253441,537875.3945830744,-1724991.651014456,2116933.11597782,-1267481.2825302319,363690.14674889855,-39444.36370419996,353.05009701056406,-1081.545906258747,2560.6446859426796,-9476.758751300164,29029.24181619403,-16253.440614362713,-132251.51391293295,331246.1121612303,-334000.8695160281,166411.24228630122,-39830.91143879667,3612.960815408267
