,soft,medium,hard
0,561298.6182089695,829374.473378588,408494.58080669167
1,819467.2063322784,402953.0326072097,37734.91721361295
2,1297096.5541850606,466204.47485418385,40523.284980101584
3,279133.8725833137,1530409.9682290524,4276038.593846783
4,95.45458570294447,7690.945178117125,14004.782862441558
5,1769.4517802709424,36218.968832902174,10458.64635034257
6,365627.46365106775,333618.5271035504,41512.74317404584
7,1136478.689296718,361928.41894095874,21506.496064774095
8,130901.4575545038,521347.9376356386,333872.578728954
9,792.9934354703786,7033.798800236673,582386.3326091982
10,1610626.2094004,583002.4417880662,66266.51121876309
11,4862.591898706757,126887.72043865819,2472648.5227967496
12,39475.0583697828,579613.0772707915,1230141.3119507309
13,11.03865420385667,61.54285190255965,19286.617078573683
14,202.4987248822477,6356.98859752435,52786.96700131518
15,95441.17146590633,155013.61714147843,15059.419951943999
16,335.8888523760882,27106.919390625757,45564.82294467486
17,1.382030509538862,7.9948327023757795,1298.6133194643128
18,399.22106721212907,12584.087887796339,115710.12513256568
19,2626.973387799678,135086.56932571123,677844.9604483389
20,3383.924403021052,91739.48838935637,1570623.795655265
21,808869.0285548054,376724.6220132666,31407.931089428854
22,0.45358264366469503,2.860784988846224,637.8902885899283
23,111.57471559408214,1301.4389398761036,47821.25470822344
24,1733201.0535787053,540218.8327377824,50168.578467582294
25,514116.6640868813,697377.6394927867,263012.012224647
26,20173.022131524227,201635.68639555425,113739.2285187353
27,786360.4032024019,805258.3825368935,291109.8005683572
28,84342.89441947541,762809.8339832467,1425736.7136974735
29,398423.8349917699,1016275.3883308813,962771.4450408667
30,1424885.7239359121,642024.2380286388,96326.22683769355
31,59.92780041018979,327.750369927481,92918.79604251988
32,70.14113839662497,2141.8902034382195,15909.511132383986
33,760.9654491745997,32694.5753356862,207031.03999171715
34,46.9122523780972,865.9368768876506,13088.994893734254
35,544950.370721622,1730044.3529144588,3744205.071430714
36,2099187.573254116,442204.497920862,24150.06193611709
37,65808.4937151248,254279.93660675685,79679.59237615464
38,603921.5094361384,1497689.5947910582,2247501.8083294695
39,629239.0443858948,1532019.4616467808,2335556.3162297085
40,601095.0191441728,1588158.6910549856,2691702.0020035594
41,841562.0474312444,1041648.1145121335,593687.1453503685
42,1496324.1541685753,497779.2497722281,44055.14264455965
43,877339.834691424,784075.2400274391,248144.56609896416
44,1178.7189689716022,10651.388204692596,907909.0129975104
45,4675.860331527962,128610.91970947292,2288915.094821776
46,15.051299160483108,95.3544195792423,8829.485333959434
47,468.42282299725235,2310.618870929825,944354.5427740854
48,57706.071192618765,565046.4363540965,821574.5417374144
49,605.9301835109445,36829.531589494545,29378.35129449511
50,35353.81425453358,223214.56148230116,93801.30298352246
51,396663.1980519568,562603.0289601354,172496.11167452834
52,183.7864592765179,15829.372417004746,11023.489478986727
53,16.42481531308395,223.96373179737085,4727.607017688615
54,604412.2541014967,1687730.5288705046,3221869.024886213
55,165996.13252013028,1326600.7390117082,4205220.184033012
56,6904.48538423692,163285.25145656583,161007.94830735342
57,48.06589573050786,261.56987219589155,80160.54952299909
58,778860.1847245636,1062558.0540563685,666668.2000920083
59,2095693.7089541147,460633.7857717848,27261.53259726604
60,1413.6308058035333,12843.745978365667,1115716.481393639
61,362043.7959749713,785656.2499894024,486620.8448306953
62,195.62936058940082,1096.234028283604,230365.97214504672
63,1212393.4574725158,726337.1415429554,156022.86882275538
64,68198.83168280344,348572.12406038813,183931.50564867954
65,4621.263393824898,66553.18111210316,21670.277359595693
66,1722023.1295721282,516347.16126472654,44149.29624326347
67,11338.657817228048,297717.4815079104,563502.353313124
68,24733.110232753028,162242.14250433043,53865.07596509793
69,751387.240430148,1132648.501870558,828230.7984330215
70,1884368.480592203,424817.64327110746,23293.48683830938
71,640254.3125040598,435224.9172176461,56979.4620511103
72,2493.7166166668894,71180.99164448459,43034.43902917473
73,6533.543276895547,147410.422964624,127856.66561285607
74,59646.285535481795,552540.7195579349,749355.8071143072
75,36100.6125048075,169304.41688469535,43936.5067907107
76,1135.639528578115,41732.26072849907,21590.08748606964
77,258066.7295982801,922104.6594278583,1009479.288037383
78,524057.08874561265,274228.39032152796,17846.677245627212
79,194970.877638319,1060779.981810419,1898927.0525623267
80,710717.3101759108,731885.3749158295,237143.48934140647
81,399.21706140758505,3152.792340110055,292466.06499507104
82,27854.738399674327,177567.37021514095,61991.267209698235
